"","WardName","ranks","Ward","Rank"
"1","Turaki B",1,"Turaki B","1"
"2","Sintali B",2,"Sintali B","2"
"3","Gongong",3,"Gongong","3"
"4","Puje",4,"Puje","4"
"5","Sintali A",5,"Sintali A","5"
"6","Tikari",6,"Tikari","6"
"7","Kachala-Sembe",7,"Kachala-Sembe","7"
"8","Gahweton",8,"Gahweton","8"
"9","Kwambai",9,"Kwambai","9"
"10","Hospital",10,"Hospital","10"
"11","Dutse",11,"Dutse","11"
"12","Avyi",12,"Avyi","12"
"13","Gang Tiba",13,"Gang Tiba","13"
"14","Kona",14,"Kona","14"
"15","Lissam 2",15,"Lissam 2","15"
"16","Rogo",16,"Rogo","16"
"17","Lissam 1",17,"Lissam 1","17"
"18","Lankaviri",18,"Lankaviri","18"
"19","Kadarko",19,"Kadarko","19"
"20","Jenuwa Gida",20,"Jenuwa Gida","20"
"21","Rufu",21,"Rufu","21"
"22","Jauro Yinu",22,"Jauro Yinu","22"
"23","Barade",23,"Barade","23"
"24","Rafin Kada",24,"Rafin Kada","24"
"25","Kente",25,"Kente","25"
"26","Mallum",26,"Mallum","26"
"27","Gang Mata",27,"Gang Mata","27"
"28","Chanchangi",28,"Chanchangi","28"
"29","Kpambo 1",29,"Kpambo 1","29"
"30","Lumbu",30,"Lumbu","30"
"31","Muri A",31,"Muri A","31"
"32","Akwana",32,"Akwana","32"
"33","Majidadi",33,"Majidadi","33"
"34","Didan",34,"Didan","34"
"35","Kwesati",35,"Kwesati","35"
"36","Tsokundi",36,"Tsokundi","36"
"37","Bakin Dutse",37,"Bakin Dutse","37"
"38","Kaigama",38,"Kaigama","38"
"39","Bete",39,"Bete","39"
"40","Takalafiya",40,"Takalafiya","40"
"41","Maihula",41,"Maihula","41"
"42","Jibu",42,"Jibu","42"
"43","Suntai",43,"Suntai","43"
"44","Darofai",44,"Darofai","44"
"45","Asibiti",45,"Asibiti","45"
"46","Manya",46,"Manya","46"
"47","Gang Dole",47,"Gang Dole","47"
"48","Kussum/Badakoshi",48,"Kussum/Badakoshi","48"
"49","Turaki A",49,"Turaki A","49"
"50","Kpambo Puri",50,"Kpambo Puri","50"
"51","Kajong",51,"Kajong","51"
"52","Muri B",52,"Muri B","52"
"53","Gang Lari",53,"Gang Lari","53"
"54","Bali A",54,"Bali A","54"
"55","Akate",55,"Akate","55"
"56","Bachama",56,"Bachama","56"
"57","Fete",57,"Fete","57"
"58","Ardo Kola",58,"Ardo Kola","58"
"59","Rimi Uku 2",59,"Rimi Uku 2","59"
"60","Bente Galea",60,"Bente Galea","60"
"61","Kumbo",61,"Kumbo","61"
"62","Wuryo",62,"Wuryo","62"
"63","Gembu B",63,"Gembu B","63"
"64","Shibong",64,"Shibong","64"
"65","Mayo Selbe",65,"Mayo Selbe","65"
"66","Gunduma",66,"Gunduma","66"
"67","Jamtari",67,"Jamtari","67"
"68","Pantisawa",68,"Pantisawa","68"
"69","Galimjina",69,"Galimjina","69"
"70","Mbamnga",70,"Mbamnga","70"
"71","Lamido Borno",71,"Lamido Borno","71"
"72","Suntai",72,"Suntai","72"
"73","Yukuiben",73,"Yukuiben","73"
"74","Sabon Gida",74,"Sabon Gida","74"
"75","Bali B",75,"Bali B","75"
"76","Bantaje",76,"Bantaje","76"
"77","Wuro Jam",77,"Wuro Jam","77"
"78","Dankum",78,"Dankum","78"
"79","Chonku",79,"Chonku","79"
"80","Kassa",80,"Kassa","80"
"81","Mutum Biyu B",81,"Mutum Biyu B","81"
"82","Fada",82,"Fada","82"
"83","Baissa",83,"Baissa","83"
"84","Gangumi",84,"Gangumi","84"
"85","Serti B",85,"Serti B","85"
"86","Gembu A",86,"Gembu A","86"
"87","Dampar 3",87,"Dampar 3","87"
"88","Sendirde",88,"Sendirde","88"
"89","Fikyu",89,"Fikyu","89"
"90","Jenuwa Kogi",90,"Jenuwa Kogi","90"
"91","Gayam",91,"Gayam","91"
"92","Dampar 1",92,"Dampar 1","92"
"93","Jimlari",93,"Jimlari","93"
"94","Yitti",94,"Yitti","94"
"95","Mutum Biyu A",95,"Mutum Biyu A","95"
"96","Nguroje",96,"Nguroje","96"
"97","Sarkin Dawaki",97,"Sarkin Dawaki","97"
"98","Yelwa",98,"Yelwa","98"
"99","Dampar 2",99,"Dampar 2","99"
"100","Nwonyo 1",100,"Nwonyo 1","100"
"101","Warwar",101,"Warwar","101"
"102","Serti A",102,"Serti A","102"
"103","Kabri",103,"Kabri","103"
"104","Garbabi",104,"Garbabi","104"
"105","Kakara",105,"Kakara","105"
"106","Kashimbila",106,"Kashimbila","106"
"107","Pupule",107,"Pupule","107"
"108","Mannang",108,"Mannang","108"
"109","Gayama",109,"Gayama","109"
"110","Zing",110,"Zing","110"
"111","Mayo-Ndaga",111,"Mayo-Ndaga","111"
"112","Titong",112,"Titong","112"
"113","Nyita",113,"Nyita","113"
"114","Gassol",114,"Gassol","114"
"115","Muri C",115,"Muri C","115"
"116","Nwonyo 2",116,"Nwonyo 2","116"
"117","Sarkin Kudu 1",117,"Sarkin Kudu 1","117"
"118","Yerima",118,"Yerima","118"
"119","Ndum-Yaji",119,"Ndum-Yaji","119"
"120","Mararaba",120,"Mararaba","120"
"121","Magu",121,"Magu","121"
"122","Sarkin Kudu 3",122,"Sarkin Kudu 3","122"
"123","Jen Kaigama",123,"Jen Kaigama","123"
"124","Rimi Uku 1",124,"Rimi Uku 1","124"
"125","Kwanchi",125,"Kwanchi","125"
"126","Sarkin Kudu 2",126,"Sarkin Kudu 2","126"
"127","Mai Idanu",127,"Mai Idanu","127"
"128","Karim A",128,"Karim A","128"
"129","Bikwin",129,"Bikwin","129"
"130","Tutare",130,"Tutare","130"
"131","Kosensi",131,"Kosensi","131"
"132","Mayo Renewo",132,"Mayo Renewo","132"
"133","Lau",133,"Lau","133"
"134","Bissaula",134,"Bissaula","134"
"135","Donadda",135,"Donadda","135"
"136","Abong",136,"Abong","136"
"137","Shira",137,"Shira","137"
"138","Mika",138,"Mika","138"
"139","Zangon Kombi",139,"Zangon Kombi","139"
"140","Jen Ardido",140,"Jen Ardido","140"
"141","Gashaka",141,"Gashaka","141"
"142","Nyaja",142,"Nyaja","142"
"143","Karim B",143,"Karim B","143"
"144","Garin Dogo",144,"Garin Dogo","144"
"145","Lamma",145,"Lamma","145"
"146","Iware",146,"Iware","146"
"147","Ndaforo",147,"Ndaforo","147"
"148","Ashuku",148,"Ashuku","148"
"149","Monkin",149,"Monkin","149"
"150","Asha",150,"Asha","150"
"151","Tagallang",151,"Tagallang","151"
"152","Tau",152,"Tau","152"
"153","Bubong",153,"Bubong","153"
"154","Mayo-Lope",154,"Mayo-Lope","154"
"155","Gyata Aure",155,"Gyata Aure","155"
"156","Nyido-Tosso",156,"Nyido-Tosso","156"
"157","Namnai",157,"Namnai","157"
"158","Garin Magaji",158,"Garin Magaji","158"
"159","Dobeli",159,"Dobeli","159"
"160","Dingding",160,"Dingding","160"
"161","Kunini",161,"Kunini","161"
"162","Kakulu",162,"Kakulu","162"
"163","Yakoko",163,"Yakoko","163"
"164","Bitako",164,"Bitako","164"
"165","Akwento Boko",165,"Akwento Boko","165"
"166","Alin Gora",166,"Alin Gora","166"
"167","Abbare",167,"Abbare","167"
